2023-01-01 16:57:49,638 [INFO ]  loading data data/pc9.db
2023-01-01 23:22:03,844 [INFO ]  step=2500000, energy_mae=0.0176936, energy_rmse=0.0579657, total_loss=0.00336002, train_loss=7.30229e+11
2023-01-01 23:26:55,293 [INFO ]  step=2505000, energy_mae=0.0185169, energy_rmse=0.059154, total_loss=0.00349919, train_loss=7.17823e+11
2023-01-01 23:31:46,176 [INFO ]  step=2510000, energy_mae=0.018511, energy_rmse=0.0588761, total_loss=0.0034664, train_loss=7.1241e+11
2023-01-01 23:36:37,789 [INFO ]  step=2515000, energy_mae=0.0191145, energy_rmse=0.0602199, total_loss=0.00362643, train_loss=7.13242e+11
2023-01-01 23:41:28,939 [INFO ]  step=2520000, energy_mae=0.0183756, energy_rmse=0.0587007, total_loss=0.00344577, train_loss=7.08049e+11
2023-01-01 23:46:20,242 [INFO ]  step=2525000, energy_mae=0.018104, energy_rmse=0.0591355, total_loss=0.00349701, train_loss=6.99536e+11
2023-01-01 23:51:11,270 [INFO ]  step=2530000, energy_mae=0.0175907, energy_rmse=0.0592775, total_loss=0.00351382, train_loss=7.2258e+11
2023-01-01 23:56:01,879 [INFO ]  step=2535000, energy_mae=0.017949, energy_rmse=0.0586215, total_loss=0.00343648, train_loss=7.05181e+11
2023-01-02 00:00:52,794 [INFO ]  step=2540000, energy_mae=0.0196369, energy_rmse=0.0623854, total_loss=0.00389194, train_loss=7.05931e+11
2023-01-02 00:05:43,381 [INFO ]  step=2545000, energy_mae=0.0194819, energy_rmse=0.059007, total_loss=0.00348183, train_loss=7.03972e+11
2023-01-02 00:10:34,409 [INFO ]  step=2550000, energy_mae=0.0187909, energy_rmse=0.0583499, total_loss=0.00340472, train_loss=6.87661e+11
2023-01-02 00:15:25,425 [INFO ]  step=2555000, energy_mae=0.0178806, energy_rmse=0.0587966, total_loss=0.00345704, train_loss=6.91569e+11
2023-01-02 00:20:15,926 [INFO ]  step=2560000, energy_mae=0.0177943, energy_rmse=0.0586258, total_loss=0.00343699, train_loss=6.90551e+11
2023-01-02 00:25:06,252 [INFO ]  step=2565000, energy_mae=0.0178464, energy_rmse=0.0583923, total_loss=0.00340966, train_loss=6.85573e+11
2023-01-02 00:29:56,670 [INFO ]  step=2570000, energy_mae=0.017782, energy_rmse=0.0581578, total_loss=0.00338233, train_loss=6.93216e+11
2023-01-02 00:34:47,228 [INFO ]  step=2575000, energy_mae=0.019645, energy_rmse=0.0591593, total_loss=0.00349982, train_loss=6.79701e+11
2023-01-02 00:39:38,122 [INFO ]  step=2580000, energy_mae=0.0177448, energy_rmse=0.0587908, total_loss=0.00345636, train_loss=6.96048e+11
2023-01-02 00:44:28,514 [INFO ]  step=2585000, energy_mae=0.018442, energy_rmse=0.0590078, total_loss=0.00348192, train_loss=6.83206e+11
2023-01-02 00:49:19,331 [INFO ]  step=2590000, energy_mae=0.0176281, energy_rmse=0.0578784, total_loss=0.00334992, train_loss=6.84943e+11
2023-01-02 00:54:10,170 [INFO ]  step=2595000, energy_mae=0.0177911, energy_rmse=0.0583067, total_loss=0.00339967, train_loss=6.63655e+11
2023-01-02 00:59:01,009 [INFO ]  step=2600000, energy_mae=0.0177609, energy_rmse=0.058274, total_loss=0.00339586, train_loss=6.7935e+11
2023-01-02 01:03:51,457 [INFO ]  step=2605000, energy_mae=0.0196099, energy_rmse=0.0592255, total_loss=0.00350766, train_loss=6.82567e+11
2023-01-02 01:08:42,397 [INFO ]  step=2610000, energy_mae=0.0176148, energy_rmse=0.0580992, total_loss=0.00337552, train_loss=6.72186e+11
2023-01-02 01:13:34,136 [INFO ]  step=2615000, energy_mae=0.0177984, energy_rmse=0.0583924, total_loss=0.00340967, train_loss=6.66642e+11
2023-01-02 01:18:26,146 [INFO ]  step=2620000, energy_mae=0.0175901, energy_rmse=0.0590551, total_loss=0.00348751, train_loss=6.67682e+11
2023-01-02 01:23:18,120 [INFO ]  step=2625000, energy_mae=0.0183002, energy_rmse=0.0592157, total_loss=0.00350649, train_loss=6.58024e+11
2023-01-02 01:28:09,246 [INFO ]  step=2630000, energy_mae=0.0177928, energy_rmse=0.0583361, total_loss=0.00340311, train_loss=6.79246e+11
2023-01-02 01:33:01,006 [INFO ]  step=2635000, energy_mae=0.0179117, energy_rmse=0.0591174, total_loss=0.00349487, train_loss=6.52149e+11
2023-01-02 01:37:52,592 [INFO ]  step=2640000, energy_mae=0.0185319, energy_rmse=0.058835, total_loss=0.00346156, train_loss=6.56104e+11
2023-01-02 01:42:43,849 [INFO ]  step=2645000, energy_mae=0.0175249, energy_rmse=0.0586492, total_loss=0.00343973, train_loss=6.70892e+11
2023-01-02 01:47:35,030 [INFO ]  step=2650000, energy_mae=0.0177047, energy_rmse=0.0588317, total_loss=0.00346117, train_loss=6.52062e+11
2023-01-02 01:52:26,303 [INFO ]  step=2655000, energy_mae=0.0176869, energy_rmse=0.0585174, total_loss=0.00342428, train_loss=6.58989e+11
2023-01-02 01:57:17,511 [INFO ]  step=2660000, energy_mae=0.0183756, energy_rmse=0.0584053, total_loss=0.00341118, train_loss=6.53575e+11
2023-01-02 02:02:08,305 [INFO ]  step=2665000, energy_mae=0.0177217, energy_rmse=0.0585277, total_loss=0.00342549, train_loss=6.55028e+11
2023-01-02 02:06:59,162 [INFO ]  step=2670000, energy_mae=0.0185593, energy_rmse=0.0589152, total_loss=0.003471, train_loss=6.53047e+11
